YY,Zona,Region,ZZ,M,MM,anchoveta,sardina,Pa,Ps,pmix
1991,Centro-Sur,VIII,Centro,1,Ene,43889,63617,1,1,1
1991,Centro-Sur,VIII,Centro,2,Feb,53631,73751,1,1,1
1991,Centro-Sur,VIII,Centro,3,Mar,56307,119359,1,1,1
1991,Centro-Sur,VIII,Centro,4,Abr,25879,59288,1,1,1
1991,Centro-Sur,VIII,Centro,5,May,14806,9768,1,1,1
1991,Centro-Sur,VIII,Centro,6,Jun,16429,9092,1,1,1
1991,Centro-Sur,VIII,Centro,7,Jul,15940,5106,1,1,1
1991,Centro-Sur,VIII,Centro,8,Ago,10576,13397,1,1,1
1991,Centro-Sur,VIII,Centro,9,Sep,7222,7353,1,1,1
1991,Centro-Sur,VIII,Centro,10,Oct,3536,25806,1,1,1
1991,Centro-Sur,VIII,Centro,11,Nov,12530,30053,1,1,1
1991,Centro-Sur,VIII,Centro,12,Dic,9272,52203,1,1,1
1992,Centro-Sur,VIII,Centro,1,Ene,33013,146595,1,1,1
1992,Centro-Sur,VIII,Centro,2,Feb,31878,74961,1,1,1
1992,Centro-Sur,VIII,Centro,3,Mar,76137,56850,1,1,1
1992,Centro-Sur,VIII,Centro,4,Abr,60069,28429,1,1,1
1992,Centro-Sur,VIII,Centro,5,May,21313,4386,1,1,1
1992,Centro-Sur,VIII,Centro,6,Jun,518,433,1,1,1
1992,Centro-Sur,VIII,Centro,7,Jul,14168,9683,1,1,1
1992,Centro-Sur,VIII,Centro,8,Ago,3326,3790,1,1,1
1992,Centro-Sur,VIII,Centro,9,Sep,3226,2612,1,1,1
1992,Centro-Sur,VIII,Centro,10,Oct,738,2635,1,1,1
1992,Centro-Sur,VIII,Centro,11,Nov,5138,17757,1,1,1
1992,Centro-Sur,VIII,Centro,12,Dic,12714,24106,1,1,1
1993,Centro-Sur,VIII,Centro,1,Ene,35077,29813,1,1,1
1993,Centro-Sur,VIII,Centro,2,Feb,52121,39127,1,1,1
1993,Centro-Sur,VIII,Centro,3,Mar,15182,16320,1,1,1
1993,Centro-Sur,VIII,Centro,4,Abr,20980,15301,1,1,1
1993,Centro-Sur,VIII,Centro,5,May,30516,4897,1,1,1
1993,Centro-Sur,VIII,Centro,6,Jun,5400,483,1,1,1
1993,Centro-Sur,VIII,Centro,7,Jul,7989,1307,1,1,1
1993,Centro-Sur,VIII,Centro,8,Ago,3278,1643,1,1,1
1993,Centro-Sur,VIII,Centro,9,Sep,2818,1348,1,1,1
1993,Centro-Sur,VIII,Centro,10,Oct,2652,2352,1,1,1
1993,Centro-Sur,VIII,Centro,11,Nov,14826,19001,1,1,1
1993,Centro-Sur,VIII,Centro,12,Dic,15087,32364,1,1,1
1994,Centro-Sur,VIII,Centro,1,Ene,32960,66181,1,1,1
1994,Centro-Sur,VIII,Centro,2,Feb,71971,70518,1,1,1
1994,Centro-Sur,VIII,Centro,3,Mar,122588,38487,1,1,1
1994,Centro-Sur,VIII,Centro,4,Abr,63883,14539,1,1,1
1994,Centro-Sur,VIII,Centro,5,May,47349,3669,1,1,1
1994,Centro-Sur,VIII,Centro,6,Jun,19178,7748,1,1,1
1994,Centro-Sur,VIII,Centro,7,Jul,13959,3633,1,1,1
1994,Centro-Sur,VIII,Centro,8,Ago,14285,4831,1,1,1
1994,Centro-Sur,VIII,Centro,9,Sep,5207,2029,1,1,1
1994,Centro-Sur,VIII,Centro,10,Oct,26497,15032,1,1,1
1994,Centro-Sur,VIII,Centro,11,Nov,26800,23073,1,1,1
1994,Centro-Sur,VIII,Centro,12,Dic,29665,25069,1,1,1
1995,Centro-Sur,VIII,Centro,1,Ene,38426,18016,1,1,1
1995,Centro-Sur,VIII,Centro,2,Feb,67252,11422,1,1,1
1995,Centro-Sur,VIII,Centro,3,Mar,18124,5826,1,1,1
1995,Centro-Sur,VIII,Centro,4,Abr,9339,1973,1,1,1
1995,Centro-Sur,VIII,Centro,5,May,12525,2505,1,1,1
1995,Centro-Sur,VIII,Centro,6,Jun,3979,399,1,1,1
1995,Centro-Sur,VIII,Centro,7,Jul,3276,813,1,1,1
1995,Centro-Sur,VIII,Centro,8,Ago,613,488,1,1,1
1995,Centro-Sur,VIII,Centro,9,Sep,6567,4348,1,1,1
1995,Centro-Sur,VIII,Centro,10,Oct,26099,21699,1,1,1
1995,Centro-Sur,VIII,Centro,11,Nov,10107,7045,1,1,1
1995,Centro-Sur,VIII,Centro,12,Dic,60136,102654,1,1,1
1996,Centro-Sur,VIII,Centro,1,Ene,65254,131060,1,1,1
1996,Centro-Sur,VIII,Centro,2,Feb,102248,124046,1,1,1
1996,Centro-Sur,VIII,Centro,3,Mar,64707,82096,1,1,1
1996,Centro-Sur,VIII,Centro,4,Abr,26172,36404,1,1,1
