Year,aQini,aQind,aQart,aQfin,aDind,aDart,aDtot,sQini,sQind,sQart,sQfin,sDind,sDart,sDtot
2001,150,67.771,87.169,158.44,32.052,128.412,160.464,340,105.543,249.577,355.12,48.909,275.561,324.47
2002,250,163.02,207.48,375,60.497,204.429,264.926,305,119.25,278.25,397.5,36.588,310.495,347.083
2003,296,149.982,234.43,393.291,85.822,210.939,296.761,283,90.204,270.613,360.817,40.31,263.542,303.852
2004,303,130.58,253.44,384,109.334,193.684,303.018,320,75.8,290.32,366.12,71.109,284.837,355.946
2005,289,170.925,276.235,447.161,161.836,263.413,425.249,316,80.043,239.469,319.513,60.037,229.395,289.432
2006,200,170.984,197.616,368.6,176.031,466.556,642.587,217,89.87,359.48,449.35,82.157,464.57,546.728
2007,288,185.856,236.544,422.4,170.345,378.737,549.082,280,102.72,308.16,410.88,89.101,167.34,256.441
2008,385,183.92,234.08,418,182.424,212.522,394.946,262,225.15,525.35,750.5,223.78,581.113,804.893
2009,272,181.83,231.42,413.25,171.326,265.836,437.161,605,261.9,611.1,873,251.278,600.764,852.042
2010,283.055,119.931,152.639,272.57,89.318,132.443,221.761,605,260.243,607.232,867.475,214.499,534.991,749.49
2011,80,29.466,37.502,66.968,13.774,85.028,98.802,605,171.131,732.848,903.979,202.741,580.755,783.496
