ParName   Value   Gradient
a50    -0.174085 -0.000119946
a95     0.241421 -4.53448e-06
a50p    0.0146042   -0.0278319
a95p     0.107078  0.000202523
F60     0.266992  3.70368e-05
F40     0.562373  1.17525e-05
rec_dev_future(2019)            0            0
rec_dev_future(2020)            0            0
rec_dev_future(2021)            0            0
rec_dev_future(2022)            0            0
rec_dev_future(2023)            0            0
rec_dev_future(2024)            0            0
fmort_dev(1991)   -0.0046599  -0.00384859
fmort_dev(1992)     0.551347 -0.000709694
fmort_dev(1993)     0.128783  0.000307983
fmort_dev(1994)   -0.0315313  0.000454665
fmort_dev(1995)      -1.0232  0.000466299
fmort_dev(1996)    -0.606303  0.000534481
fmort_dev(1997)    -0.233349  0.000503764
fmort_dev(1998)    -0.733803  0.000480599
fmort_dev(1999)     0.468641   0.00033923
fmort_dev(2000)      1.31388  0.000551256
fmort_dev(2001)     0.693537  0.000454728
fmort_dev(2002)     0.293679  0.000303259
fmort_dev(2003)     0.628304 -0.000349757
fmort_dev(2004)     0.193664 -2.54676e-05
fmort_dev(2005)    0.0891142  6.62116e-05
fmort_dev(2006)    -0.178391  6.10199e-06
fmort_dev(2007)     0.558901 -0.000110946
fmort_dev(2008)    0.0592246  0.000238485
fmort_dev(2009)     0.338204 -0.000305897
fmort_dev(2010)    -0.145023  -0.00010166
fmort_dev(2011)     0.217594 -7.50323e-05
fmort_dev(2012)    -0.265823 -0.000106691
fmort_dev(2013)    -0.229612  0.000150933
fmort_dev(2014)    -0.310407 -0.000122821
fmort_dev(2015)    -0.248628  6.61444e-05
fmort_dev(2016)    -0.509125  0.000325742
fmort_dev(2017)    -0.590489  0.000228809
fmort_dev(2018)    -0.424528    0.0003094
log_dev_ini(2)      9.56347 -4.91956e-05
log_dev_ini(3)     -1.13919   0.00479697
log_dev_ini(4)     -8.42428   0.00248451
rec_dev(1991)   -0.0595375   -0.0102162
rec_dev(1992)   0.00024835  -0.00380984
rec_dev(1993)   -0.0342644 -0.000678103
rec_dev(1994)     0.065238 -0.000164214
rec_dev(1995)    -0.478015  1.46883e-06
rec_dev(1996)      0.50495  0.000145644
rec_dev(1997)     0.628894  0.000144557
rec_dev(1998)    -0.857343  8.39563e-05
rec_dev(1999)     0.403838  0.000366823
rec_dev(2000)     0.811907  0.000500412
rec_dev(2001)     0.159884  0.000126003
rec_dev(2002)     -0.42912  0.000301469
rec_dev(2003)    -0.499417  0.000885429
rec_dev(2004)    0.0843974  0.000842832
rec_dev(2005)     -0.45491  0.000175577
rec_dev(2006)     0.153246   0.00118174
rec_dev(2007)   -0.0390112  0.000902813
rec_dev(2008)     0.908356  0.000396963
rec_dev(2009)     0.205437  0.000962517
rec_dev(2010)     0.316254   0.00114815
rec_dev(2011)     0.205131  0.000842506
rec_dev(2012)      0.50661   0.00159251
rec_dev(2013)    -0.618193  0.000488409
rec_dev(2014)     0.320126   0.00146977
rec_dev(2015)     0.320215  0.000516682
rec_dev(2016)     -0.93612  0.000548037
rec_dev(2017)    -0.743579  0.000711259
rec_dev(2018)    -0.445223  0.000536898
log_q_surv      1.50433  7.39973e-08
log_q_cpue     -12.5153 -1.27472e-05
log_q_survpel      2.17596  0.000402661
mean_log_rec1      18.9553  0.000326628
mean_log_rec      18.5276 -0.000295872
log_Nini      7.76529 -0.000290511
log_avg_fmort      -2.0286  2.57036e-06
